metropolitan_statistical_area,counties_principal_cities,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft
,"Rate per 100,000 inhabitants",,234.5,4.3,24.2,69.1,137,1586.5,214,1280.6,91.9
"Yuba City, CA M.S.A.",,170558,,,,,,,,,
,Includes Sutter and Yuba Counties,,,,,,,,,,
,City of Yuba City,67198,272,8,24,76,164,2030,406,1389,235
,Total area actually reporting,1,678,13,50,137,478,4635,1097,2800,738
,"Rate per 100,000 inhabitants",,397.5,7.6,29.3,80.3,280.3,2717.6,643.2,1641.7,432.7
"Aguadilla-Isabela, Puerto Rico M.S.A.",,309696,,,,,,,,,
,"Includes Aguada, Aguadilla, Anasco, Isabela, Lares, Moca, Rincon, San Sebastian, and Utuado Municipios",,,,,,,,,,
,Total area actually reporting,1,424,22,12,86,304,2030,703,1253,74
,"Rate per 100,000 inhabitants",,136.9,7.1,3.9,27.8,98.2,655.5,227,404.6,23.9
"Arecibo, Puerto Rico M.S.A.",,185250,,,,,,,,,
,"Includes Arecibo, Camuy, Hatillo, and Quebradillas Municipios",,,,,,,,,,
,Total area actually reporting,1,314,10,4,96,204,1633,393,1121,119
,"Rate per 100,000 inhabitants",,169.5,5.4,2.2,51.8,110.1,881.5,212.1,605.1,64.2
"Guayama, Puerto Rico M.S.A.",,77771,,,,,,,,,
,"Includes Arroyo, Guayama, and Patillas Municipios",,,,,,,,,,
,Total area actually reporting,1,182,19,8,39,116,614,222,382,10
,"Rate per 100,000 inhabitants",,234,24.4,10.3,50.1,149.2,789.5,285.5,491.2,12.9
"Mayaguez, Puerto Rico M.S.A.",,94038,,,,,,,,,
,Includes Hormigueros and Mayaguez Municipios,,,,,,,,,,
,Total area actually reporting,1,248,16,4,68,160,1137,290,811,36
,"Rate per 100,000 inhabitants",,263.7,17,4.3,72.3,170.1,1209.1,308.4,862.4,38.3
"Ponce, Puerto Rico M.S.A.",,309512,,,,,,,,,
,"Includes Guanica, Guyanilla, Juana Diaz, Penuelas, Ponce, Villalba, and Yauco Municipios",,,,,,,,,,
,Total area actually reporting,1,785,70,22,179,514,2557,611,1839,107
,"Rate per 100,000 inhabitants",,253.6,22.6,7.1,57.8,166.1,826.1,197.4,594.2,34.6
"San German, Puerto Rico M.S.A.",,128279,,,,,,,,,
,"Includes Cabo Rojo, Lajas, Sabana Grande, and San German Municipios",,,,,,,,,,
,Total area actually reporting,1,117,9,4,34,70,450,173,245,32
,"Rate per 100,000 inhabitants",,91.2,7,3.1,26.5,54.6,353.1,134.9,193.3,24.9
"San Juan-Carolina-Caguas, Puerto Rico M.S.A.",,2157729,,,,,,,,,
,"Includes Aguas Buenas, Aibonito, Barceloneta, Barranquitas, Bayamon, Caguas, Canovanas, Carolina, Catano, Cayey, Ceiba, Ciales, Cidra, Comerio, Corozal, Dorado, Fajardo, Florida, Guaynabo, Gurabo, Humacao, Juncos, Las Piedras, Loiza, Luquillo, Manati, Maunabo, Morovis, Naguabo, Naranjito, Orocovis, Rio Grande, San Juan, San Lorenzo, Toa Alta, Toa Baja, Trujillo Alto, Vega Alta, Vega Baja, and Yabucoa Municipios",,,,,,,,,,
,Total area actually reporting,1,5292,504,106,2653,2029,25686,5515,16802,3369
,"Rate per 100,000 inhabitants",,245.3,23.4,4.9,123,94,1190.4,255.6,778.7,156.1
1 The rape figures in this table are an aggregate total of the data submitted using both the revised and legacy Uniform Crime Reporting (UCR) definitions. See the data declaration for further explanation.,,,,,,,,,,,
"2 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,
"3 The FBI determined that the agency's data were underreported. Consequently, those data are not included in this table.",,,,,,,,,,,
"4 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",,,,,,,,,,,
"5 The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department.",,,,,,,,,,,
"6 The 2016 murder offenses include those victims of the Pulse Nightclub incident; therefore, figures are not comparable to previous years' data.",,,,,,,,,,,
"7 The FBI determined that the agency did not follow national UCR Program guidelines for reporting an offense. Consequently, this figure is not included in this table.  ",,,,,,,,,,,
